,statecode,tech,bc_hundred,bc_oneG,bc_twentyfive,blockcode,hundred_fifty,oneG,providername,twentyfive_three,type
4,12,Satellite,0,0,0,483744,0.0,0,4,0.0,business
5,12,aDSL,0,0,3100,99514,0.0,0,28,3100.0,business
6,12,Cable,43,0,306801,307253,43.0,0,16,329550.0,consumer
7,12,Fiber,10119,0,64184,66806,10170.0,0,22,69444.0,consumer
8,12,Fixed Wireless,4,0,116611,124690,4.0,0,15,116620.0,consumer
9,12,Other,76,0,112,245,76.0,0,10,112.0,consumer
10,12,Satellite,0,0,0,484481,0.0,0,3,0.0,consumer
11,12,aDSL,0,0,100450,243561,0.0,0,15,100525.0,consumer
12,12,2G,0,0,0,482827,0.0,0,6,0.0,mobile
13,12,3G,0,0,0,482985,0.0,0,5,0.0,mobile
14,12,4G_LTE,0,0,481856,481857,0.0,0,4,1854077.0,mobile
15,12,4G_NON_LTE,0,0,477421,477422,0.0,0,2,919507.0,mobile
0,46,Cable,0,0,10840,17428,0.0,0,8,10858.0,business
1,46,Fiber,550,0,3041,35443,554.0,0,32,3057.0,business
2,46,Fixed Wireless,9800,0,10333,35759,9800.0,0,23,10333.0,business
3,46,Other,1,0,23,96,1.0,0,8,23.0,business
4,46,Satellite,0,0,0,85163,0.0,0,4,0.0,business
5,46,aDSL,0,0,0,42826,0.0,0,31,0.0,business
6,46,Cable,0,0,17416,17428,0.0,0,8,21818.0,consumer
7,46,Fiber,12517,0,34239,35448,12575.0,0,27,34692.0,consumer
8,46,Fixed Wireless,3180,0,18046,36379,3180.0,0,27,18046.0,consumer
9,46,Satellite,0,0,0,88360,0.0,0,3,0.0,consumer
10,46,aDSL,0,0,4987,43036,0.0,0,28,4987.0,consumer
11,46,2G,0,0,0,85775,0.0,0,9,0.0,mobile
12,46,3G,0,0,0,88263,0.0,0,10,0.0,mobile
13,46,4G_LTE,0,0,87095,87096,0.0,0,9,224563.0,mobile
14,46,4G_NON_LTE,0,0,87894,87895,0.0,0,2,87914.0,mobile
0,28,Cable,0,0,7254,48762,0.0,0,17,12058.0,business
1,28,Fiber,1320,0,1373,44876,1345.0,0,28,1414.0,business
2,28,Fixed Wireless,0,0,10680,12486,0.0,0,12,10680.0,business
3,28,Other,5,0,2917,6247,5.0,0,21,2919.0,business
4,28,Satellite,0,0,0,171778,0.0,0,4,0.0,business
5,28,aDSL,0,0,1672,18756,0.0,0,25,1672.0,business
6,28,Cable,0,0,46962,47517,0.0,0,10,51847.0,consumer
7,28,Fiber,1826,0,2628,4170,1832.0,0,12,2642.0,consumer
8,28,Fixed Wireless,0,0,12062,12853,0.0,0,13,12062.0,consumer
9,28,Other,0,0,2,2830,0.0,0,3,2.0,consumer
10,28,Satellite,0,0,0,171778,0.0,0,3,0.0,consumer
11,28,aDSL,0,0,12291,74758,0.0,0,19,12323.0,consumer
12,28,2G,0,0,0,171595,0.0,0,6,0.0,mobile
13,28,3G,0,0,0,171768,0.0,0,5,0.0,mobile
14,28,4G_LTE,0,0,170912,170913,0.0,0,5,693613.0,mobile
15,28,4G_NON_LTE,0,0,169708,169709,0.0,0,2,229452.0,mobile
0,2,Cable,0,0,8,9359,0.0,0,6,10.0,business
1,2,Fiber,863,0,1106,3634,868.0,0,11,1122.0,business
2,2,Fixed Wireless,117,0,1838,5747,117.0,0,13,1838.0,business
3,2,Other,1,0,23,1479,1.0,0,6,23.0,business
4,2,Satellite,0,0,0,38552,0.0,0,4,0.0,business
5,2,aDSL,0,0,1712,10620,0.0,0,15,1712.0,business
6,2,Cable,0,0,8632,9349,0.0,0,4,8634.0,consumer
7,2,Fiber,110,0,422,472,110.0,0,5,422.0,consumer
8,2,Fixed Wireless,2,0,490,8744,2.0,0,14,490.0,consumer
9,2,Other,1,0,1,37,1.0,0,1,1.0,consumer
10,2,Satellite,0,0,0,38552,0.0,0,3,0.0,consumer
11,2,aDSL,0,0,1685,10494,0.0,0,14,1685.0,consumer
12,2,2G,0,0,0,29420,0.0,0,11,0.0,mobile
13,2,3G,0,0,0,25175,0.0,0,6,0.0,mobile
14,2,4G_LTE,0,0,17018,17019,0.0,0,4,39946.0,mobile
15,2,4G_NON_LTE,0,0,20481,20482,0.0,0,2,35357.0,mobile
16,2,Undefined,0,0,0,1367,0.0,0,1,0.0,mobile
0,10,Cable,0,0,2,16390,0.0,0,6,2.0,business
1,10,Fiber,3540,0,3555,3558,3762.0,0,13,3826.0,business
2,10,Fixed Wireless,0,0,0,2644,0.0,0,2,0.0,business
3,10,Other,3,0,40,418,3.0,0,12,43.0,business
4,10,Satellite,0,0,0,24115,0.0,0,4,0.0,business
5,10,aDSL,0,0,2,499,0.0,0,10,2.0,business
6,10,Cable,0,0,15788,15790,0.0,0,3,15918.0,consumer
7,10,Fiber,7121,0,7149,7150,7121.0,0,1,7150.0,consumer
8,10,Fixed Wireless,0,0,0,2645,0.0,0,3,0.0,consumer
9,10,Other,0,0,0,1,0.0,0,1,1.0,consumer
10,10,Satellite,0,0,0,24115,0.0,0,3,0.0,consumer
11,10,aDSL,0,0,0,10604,0.0,0,4,0.0,consumer
12,10,2G,0,0,0,24094,0.0,0,4,0.0,mobile
13,10,3G,0,0,0,24089,0.0,0,4,0.0,mobile
14,10,4G_LTE,0,0,24015,24016,0.0,0,4,92404.0,mobile
15,10,4G_NON_LTE,0,0,23813,23814,0.0,0,2,39803.0,mobile
0,50,Cable,0,0,0,13010,0.0,0,4,0.0,business
1,50,Fiber,3740,0,3746,4032,4012.0,0,17,4028.0,business
2,50,Fixed Wireless,0,0,1,3860,0.0,0,6,1.0,business
3,50,Other,1,0,192,346,1.0,0,5,205.0,business
4,50,Satellite,0,0,0,32580,0.0,0,4,0.0,business
5,50,aDSL,44,0,237,17767,44.0,0,13,250.0,business
6,50,Cable,0,0,12765,12766,0.0,0,4,12909.0,consumer
7,50,Fiber,3204,0,3212,3284,3204.0,0,12,3212.0,consumer
8,50,Fixed Wireless,0,0,232,16322,0.0,0,7,232.0,consumer
9,50,Satellite,0,0,0,32580,0.0,0,3,0.0,consumer
10,50,aDSL,1,0,829,17991,1.0,0,10,844.0,consumer
11,50,2G,0,0,0,28605,0.0,0,5,0.0,mobile
12,50,3G,0,0,0,30729,0.0,0,4,0.0,mobile
13,50,4G_LTE,0,0,31981,31982,0.0,0,6,114960.0,mobile
14,50,4G_NON_LTE,0,0,29798,29799,0.0,0,2,30977.0,mobile
0,78,Cable,0,0,4155,4185,0.0,0,1,4155.0,business
1,78,Fiber,4428,0,4428,4429,4429.0,0,1,4429.0,business
2,78,Fixed Wireless,2,0,13,4682,2.0,0,3,13.0,business
3,78,Other,0,0,0,4422,0.0,0,1,0.0,business
4,78,aDSL,0,0,0,4422,0.0,0,1,0.0,business
5,78,Cable,0,0,4155,4185,0.0,0,1,4155.0,consumer
6,78,Fiber,0,0,4428,4429,0.0,0,1,4429.0,consumer
7,78,Fixed Wireless,2,0,13,4682,2.0,0,3,13.0,consumer
8,78,Other,0,0,0,5,0.0,0,1,0.0,consumer
9,78,aDSL,0,0,0,4422,0.0,0,1,0.0,consumer
10,78,2G,0,0,0,4802,0.0,0,5,0.0,mobile
11,78,3G,0,0,0,4777,0.0,0,4,0.0,mobile
12,78,4G_LTE,0,0,4588,4589,0.0,0,3,8229.0,mobile
13,78,4G_NON_LTE,0,0,4370,4371,0.0,0,2,6417.0,mobile
0,15,Cable,0,0,1,14562,0.0,0,4,1.0,business
1,15,Fiber,275,0,370,3463,277.0,0,7,399.0,business
2,15,Fixed Wireless,2,0,4941,5437,2.0,0,5,4947.0,business
3,15,Other,2,0,414,511,2.0,0,4,424.0,business
4,15,Satellite,0,0,0,24953,0.0,0,4,0.0,business
5,15,aDSL,0,0,24,9231,0.0,0,6,25.0,business
6,15,Cable,0,0,14561,14562,0.0,0,1,14562.0,consumer
7,15,Fiber,3008,0,3031,3072,3008.0,0,4,3039.0,consumer
8,15,Fixed Wireless,2,0,9,442,2.0,0,2,9.0,consumer
9,15,Satellite,0,0,0,24953,0.0,0,3,0.0,consumer
10,15,aDSL,0,0,10,9274,0.0,0,4,10.0,consumer
11,15,2G,0,0,0,24400,0.0,0,5,0.0,mobile
12,15,3G,0,0,0,24604,0.0,0,5,0.0,mobile
13,15,4G_LTE,0,0,24203,24204,0.0,0,4,84885.0,mobile
14,15,4G_NON_LTE,0,0,23523,23524,0.0,0,2,39953.0,mobile
0,66,Cable,0,0,0,37,0.0,0,1,0.0,business
1,66,Fiber,0,0,0,475,0.0,0,1,0.0,business
2,66,Other,0,0,0,4,0.0,0,1,0.0,business
3,66,aDSL,0,0,0,3738,0.0,0,1,0.0,business
4,66,Cable,0,0,0,37,0.0,0,1,0.0,consumer
5,66,Fiber,0,0,0,475,0.0,0,1,0.0,consumer
6,66,Other,0,0,0,4,0.0,0,1,0.0,consumer
7,66,aDSL,0,0,0,3738,0.0,0,1,0.0,consumer
8,66,2G,0,0,0,3584,0.0,0,2,0.0,mobile
9,66,3G,0,0,0,3477,0.0,0,2,0.0,mobile
10,66,4G_LTE,0,0,3620,3621,0.0,0,4,11900.0,mobile
11,66,4G_NON_LTE,0,0,3584,3585,0.0,0,3,9297.0,mobile
0,44,Cable,0,0,7127,7135,0.0,0,5,7367.0,business
1,44,Fiber,4438,0,4449,16840,5009.0,0,10,5047.0,business
2,44,Fixed Wireless,24,0,24,25,24.0,0,2,24.0,business
3,44,Other,2,0,22,437,2.0,0,5,23.0,business
4,44,Satellite,0,0,0,23489,0.0,0,4,0.0,business
5,44,aDSL,0,0,0,11507,0.0,0,10,0.0,business
6,44,Cable,0,0,17387,17388,0.0,0,3,18275.0,consumer
7,44,Fiber,15928,0,15980,15981,15932.0,0,2,15985.0,consumer
8,44,Fixed Wireless,0,0,0,1,0.0,0,1,0.0,consumer
9,44,Satellite,0,0,0,23489,0.0,0,3,0.0,consumer
10,44,aDSL,0,0,0,11473,0.0,0,3,0.0,consumer
11,44,2G,0,0,0,25176,0.0,0,4,0.0,mobile
12,44,3G,0,0,0,25172,0.0,0,4,0.0,mobile
13,44,4G_LTE,0,0,25171,25172,0.0,0,4,96900.0,mobile
14,44,4G_NON_LTE,0,0,24685,24686,0.0,0,2,48586.0,mobile
0,60,Cable,0,0,0,9,0.0,0,1,0.0,business
1,60,Fiber,0,0,0,6,0.0,0,1,0.0,business
2,60,Fixed Wireless,0,0,0,6,0.0,0,1,0.0,business
3,60,aDSL,0,0,0,823,0.0,0,1,0.0,business
4,60,Cable,0,0,0,10,0.0,0,1,0.0,consumer
5,60,Fixed Wireless,0,0,0,14,0.0,0,1,0.0,consumer
6,60,aDSL,0,0,0,823,0.0,0,1,0.0,consumer
7,60,2G,0,0,0,456,0.0,0,1,0.0,mobile
8,60,3G,0,0,0,544,0.0,0,2,0.0,mobile
0,69,Fiber,0,0,0,671,0.0,0,1,0.0,business
1,69,Other,0,0,0,1143,0.0,0,1,0.0,business
2,69,aDSL,0,0,0,1128,0.0,0,1,0.0,business
3,69,Cable,0,0,0,7,0.0,0,1,0.0,consumer
4,69,Fiber,0,0,0,671,0.0,0,1,0.0,consumer
5,69,aDSL,0,0,0,1143,0.0,0,1,0.0,consumer
6,69,2G,0,0,0,1218,0.0,0,1,0.0,mobile
7,69,4G_LTE,0,0,288,289,0.0,0,1,289.0,mobile
8,69,4G_NON_LTE,0,0,1221,1222,0.0,0,1,1222.0,mobile
